discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
Shot Put,21.24,,Valerie ADAMS,1984-10-06,NZL,"DS, Daegu (KOR)",M,2011-08-29,2011,World Championships In Athletics Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
20 Kilometres Race Walk,1:25:08,,Vera SOKOLOVA,1987-06-23,RUS,Sochi (RUS),W,2011-02-26,2011,European Records,False,False,False,False,RUS,Sochi,Russian Federation,Europe,Eastern Europe,60.0,100.0,Russian Federation,Europe,Eastern Europe,60.0,100.0
4x100 Metres Relay,37.04,,Jamaica,,JAM,"DS, Daegu (KOR)",M,2011-09-04,2011,World Championships In Athletics Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,Jamaica,Americas,Caribbean,18.25,-77.5
400 Metres Short Track,44.80,,Kirani JAMES,1992-09-01,GRN,"Fayetteville, AR (USA) (i)",M,2011-02-27,2011,World U20 Records,True,False,False,False,USA,"Fayetteville, AR",United States of America,Americas,North America,38.0,-97.0,Grenada,Americas,Caribbean,12.11666666,-61.66666666
"30,000 Metres",1:26:47.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",W,2011-06-03,2011,World Best Performances,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"25,000 Metres",1:12:25.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",W,2011-06-03,2011,World Best Performances,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
Octathlon Boys,6491,,Jake STEIN,1994-01-17,AUS,Lille (FRA),M,2011-07-07,2011,U18 World Best Performances,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
"10,000 Metres",26:46.57,,Mo FARAH,1983-03-23,GBR,"Hayward Field, Eugene, OR (USA)",W,2011-06-03,2011,European Records,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,,,,,
"50,000 Metres Race Walk",3:35:27.2h,,Yohann DINIZ,1978-01-01,FRA,Reims (FRA),M,2011-03-12,2011,World Records,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,French Republic,Europe,Western Europe,46.0,2.0
Shot Put (5kg),24.45,,Jacko GILL,1994-12-20,NZL,Auckland (NZL),M,2011-12-19,2011,U18 World Best Performances,False,False,False,False,NZL,Auckland,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
